checked_jst,trophies,best_trophies,wins,losses,battle_count,pol_current_league,pol_current_trophies,pol_current_rank,pol_last_league,pol_last_trophies,pol_last_rank,pol_best_league,pol_best_trophies,pol_best_rank
2026-08-05 09:27:59,14000,14000,10385,7822,18207,2,0,,6,0,,10,2246,8026
2026-08-05 09:48:49,14000,14000,10385,7822,18207,2,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 2, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-07 18:43:54,14000,14000,10394,7825,18219,2,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 2, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-07 21:32:04,14000,14000,10394,7825,18219,2,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 2, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-08 02:13:31,14000,14000,10394,7825,18219,2,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 2, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-08 05:23:52,14000,14000,10394,7825,18219,2,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 2, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-08 08:33:50,14000,14000,10396,7826,18222,3,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 3, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-08 08:57:26,14000,14000,10396,7826,18222,3,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 3, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-08 10:10:38,14000,14000,10399,7826,18225,3,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 3, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-08 10:32:16,14000,14000,10399,7827,18226,3,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 3, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-08 10:52:27,14000,14000,10399,7827,18226,3,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 3, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-08 11:19:45,14000,14000,10399,7827,18226,3,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 3, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-08 11:20:40,14000,14000,10399,7827,18226,3,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 3, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-08 11:36:55,14000,14000,10399,7827,18226,3,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 3, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-08 11:38:23,14000,14000,10399,7827,18226,3,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 3, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-08 11:51:17,14000,14000,10399,7827,18226,3,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 3, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-08 11:51:46,14000,14000,10399,7827,18226,3,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 3, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-08 13:32:31,14000,14000,10399,7827,18226,3,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 3, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-08 17:22:04,14000,14000,10399,7827,18226,3,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 3, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-08 19:04:41,14000,14000,10399,7827,18226,3,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 3, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-08 20:48:23,14000,14000,10399,7827,18226,3,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 3, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-08 23:16:58,14000,14000,10399,7827,18226,3,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 3, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-09 00:51:31,14000,14000,10399,7827,18226,3,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 3, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-09 02:53:49,14000,14000,10399,7827,18226,3,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 3, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-09 04:47:56,14000,14000,10399,7827,18226,3,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 3, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-09 06:50:45,14000,14000,10399,7827,18226,3,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 3, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
2026-08-09 08:49:22,14000,14000,10406,7829,18235,3,0,,6,0,,10,2246,8026,"{""bestPathOfLegendSeasonResult"": {""leagueNumber"": 10, ""rank"": 8026, ""trophies"": 2246}, ""currentPathOfLegendSeasonResult"": {""leagueNumber"": 3, ""rank"": null, ""trophies"": 0}, ""lastPathOfLegendSeasonResult"": {""leagueNumber"": 6, ""rank"": null, ""trophies"": 0}}"
